No.,山名,エリア,標高,"難易度
★=5段階
☆=3段階","定数
数値=体力度
☆=3段階",参考日程,緯度経度
3081,大和葛城山,近畿,959m,★,-,日帰り,"34度27分22秒, 135度40分56秒"
3082,蓬莱山,近畿,1174m,★★★,-,日帰り,"35度12分34秒, 135度53分09秒"
3083,比叡山,近畿,848m,★,-,日帰り,"35度03分57秒, 135度50分04秒"
3084,愛宕山,近畿,924m,★★,-,日帰り,"35度06分54秒, 139度59分13秒"
3085,六甲山,近畿,931m,★★,-,日帰り,"34度46分41秒, 135度15分49秒"
3086,扇ノ山,中国・四国,1310m,★,-,日帰り,"35度26分23秒, 134度26分27秒"
3087,那岐山,中国・四国,1255m,★★,-,日帰り,"35度10分18秒, 134度10分49秒"
3088,道後山,中国・四国,1271m,★,-,日帰り,"35度04分10秒, 133度13分58秒"
3089,吾妻山,中国・四国,1238m,★,-,日帰り,"37度44分18秒, 140度08分27秒"
3090,伊予富士,中国・四国,1756m,★★,-,日帰り,"33度47分17秒, 133度14分53秒"
3091,瓶ヶ森,中国・四国,1897m,★,-,日帰り,"33度47分41秒, 133度11分36秒"
3092,三本杭,中国・四国,1226m,★★,-,日帰り,"33度11分18秒, 132度38分07秒"
3093,篠山,中国・四国,1065m,★,-,日帰り,"33度03分21秒, 132度39分33秒"
3094,脊振山,九州,1055m,★★,-,日帰り,"33度26分11秒, 130度22分07秒"
3095,鶴見岳,九州,1375m,★★,-,日帰り,"33度17分12秒, 131度25分47秒"
3096,涌蓋山,九州,1500m,★★,-,日帰り,"33度08分24秒, 131度09分52秒"
3097,大船山,九州,1786m,★★★,-,日帰り,"33度05分42秒, 131度16分50秒"
3098,傾山,九州,1605m,★★★★,-,日帰り,"32度50分20秒, 131度28分33秒"
3099,多良岳,九州,996m,★★★,-,日帰り,"32度59分15秒, 130度04分35秒"
3100,国見岳,九州,1739m,★★,-,日帰り,"36度34分16秒, 137度35分23秒"
3101,高隅山,九州,1236m,★★,-,日帰り,"31度29分10秒, 130度49分07秒"
,,,,,,,0
